date,text,sentiment_category
2024-08-29 06:51:05+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW green",Positive
2024-11-12 12:49:38+00:00,INDEX OPTIONS TRADEBANKNIFTY 13 NOV 50800 PE70 TO 10030 GAINS doubled,Positive
2024-06-05 13:12:17+00:00,INDEX OPTIONS TRADEBANKNIFTY 12 JUN 48000 CE400 TO 650250 POINTS,Positive
2024-11-25 08:32:31+00:00,"RISKY TRADERSSELL BANKNIFTY NOV FUTURES AROUND 52050TARGET 51900,51700,51500STOP LOSS 52200 red",Negative
2024-01-24 13:35:29+00:00,INDEX OPTIONS TRADE 3NIFTY 21600 PE300 TO 35050 POINTS NIFTY growth,Positive
2024-08-21 12:31:10+00:00,INDEX OPTIONS TRADEHERO ZEROBANKNIFTY 21 AUG 51000 CESTOP LOSS TAKEN degrade,Negative
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2023-12-20 14:38:04+00:00,INDEX OPTIONS TRADE 3BANKNIFTY  47900 CESTOP LOSS TAKEN degrade,Negative
2024-10-18 08:59:18+00:00,SHORT TERM NIFTY VIEWNIFTY 24 OCT 24700 CE155 TO 300145 POINTS growth,Positive
2024-11-13 06:11:00+00:00,"SHORT TERMNIFTY NOVEMBER FUTURES AROUND 23780TARGET 23900,24000,24100STOP LOSS AT 23650 degrade",Negative
2024-10-14 03:38:48+00:00,NIFTY LEVEL gain,Positive
2024-09-20 17:15:34+00:00,INDEX OPTIONS TRADENIFTY SEP 25500 CE180 TO 352172 POINTS,Positive
2023-12-21 12:27:35+00:00,HERO OR ZERONIFTY 21250 CE12 TO 32 gain,Positive
2023-12-20 14:36:55+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 47600 CE535 TO 558STOP LOSS TAKEN red,Negative
2024-06-05 09:48:48+00:00,BANKNIFTY260 TO 310,Neutral
2024-06-03 14:37:42+00:00,INDEX OPTIONS TRADEBANKNIFTY 51000 CE600 TO 840240 POINTSSENSEX 78000 CE580 TO 780200 POINTS,Positive
2024-04-15 15:08:08+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 48100 CESTOP LOSS TAKEN red,Negative
2024-01-03 14:06:14+00:00,INDEX OPTIONS TRADE 6BANKNIFTY 47600 CE500 TO 525STOP LOSS TAKEN degrade,Negative
2024-04-25 15:05:41+00:00,INDEX OPTIONS TRADEHERO ZERO NIFTY 22500 CE55 TO 120 gain,Positive
2024-06-19 07:42:27+00:00,HERO OR ZEROBANKNIFTY 51300 CE65 TO 2003 TIMES RETURN ON INVESTMENT bullish,Positive
2023-12-26 15:08:50+00:00,INDEX OPTIONS TRADE 3NIFTY 21400 CE155 TO 17520 POINTSINDEX OPTIONS TRADE 4BANKNIFTY 47400 CE510 TO 648148 POINTS MOVE,Neutral
2024-08-21 12:31:10+00:00,INDEX OPTIONS TRADEHERO ZEROBANKNIFTY 21 AUG 51000 CESTOP LOSS TAKEN degrade,Negative
2023-12-26 15:11:35+00:00,INDEX OPTIONS TRADE 5NIFTY 21300 CESL TAKEN!SAFE TRADERS EXITED 220REST HOLDING FOR TOMORROW WITH POSITIVE VIEW!! green,Positive
2024-11-22 13:41:02+00:00,INDEX OPTIONS TRADEBANKNIFTY HEDGE TRADEBLASTEDHEDGE TRADE!49900 CE AT 115050300 CE AT 800NET GAINS OF 140 POINTS doubled,Positive
2024-01-03 14:05:11+00:00,INDEX OPTIONS TRADE 1NIFTY 21300 CE280 TO 320 40 POINTS,Positive
2024-09-09 03:45:56+00:00,BANKNIFTY 50500 PEAbove  340Sl open TRG 360400,Positive
2024-08-06 09:27:16+00:00,"SHORT TERMBANKNIFTY AUGUST FUTURES AROUND 49980TARGET AT 50400,50600,51000STOP LOSS AF 49600 red",Negative
2024-11-18 09:18:20+00:00,CAUGHT PERFECT MOVE IN NIFTYNIFTY 23400 CE170 TO 25080 POINTS50 GAINS ON INVESTMENTS bullish,Positive
2024-10-25 06:51:10+00:00,"SHORT TERMNIFTY OCT FUTURES AROUND 24140TARGET 24200,24300,24500STOP LOSS AT 24000 loss",Negative
2024-11-12 03:43:33+00:00,NIFTY LEVEL doubled,Positive
2024-01-24 13:35:29+00:00,INDEX OPTIONS TRADE 3NIFTY 21600 PE300 TO 35050 POINTS NIFTY growth,Positive
2024-10-24 03:35:15+00:00,NIFTY 5M CHART doubled,Positive
2024-09-18 12:13:05+00:00,INDEX OPTIONS TRADEHERO OR ZEROBANKNIFTY 18 SEP 52500 CE80 TO 220ALMOST 3X RETURNS ON HERO OR ZERO TRADE green,Positive
2024-09-26 03:45:51+00:00,BANKNIFTY 53900 CEAbove  460Sl open TRG 480500,Neutral
2024-11-13 06:11:00+00:00,"SHORT TERMNIFTY NOVEMBER FUTURES AROUND 23780TARGET 23900,24000,24100STOP LOSS AT 23650 degrade",Negative
2024-08-06 09:27:16+00:00,"SHORT TERMBANKNIFTY AUGUST FUTURES AROUND 49980TARGET AT 50400,50600,51000STOP LOSS AF 49600 red",Negative
2024-02-15 12:59:59+00:00,INDEX OPTIONS TRADE 2NIFTY 22150 PE260 TO 34080 POINTS,Positive
2024-11-21 05:04:12+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 50150TARGET 50350,50600,51000STOP LOSS 49700 degrade",Negative
2024-11-22 02:52:59+00:00,Gift nifty green bullish,Positive
2024-11-26 02:37:04+00:00,Nifty future flat green,Positive
2024-02-15 13:00:37+00:00,HERO OR ZERONIFTY 21950 CE5 TO 9DOUBLED green,Positive
2024-05-29 05:54:13+00:00,BANKNIFTY ELECTION TRADE270SHOULD BOOK PARTIAL GAINS OR HOLD WITH TRAILING STOP LOSS AT COST loss,Negative
2024-11-22 13:41:02+00:00,INDEX OPTIONS TRADEBANKNIFTY HEDGE TRADEBLASTEDHEDGE TRADE!49900 CE AT 115050300 CE AT 800NET GAINS OF 140 POINTS doubled,Positive
2024-08-30 10:20:32+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW gain",Positive
2024-11-25 08:32:31+00:00,"RISKY TRADERSSELL BANKNIFTY NOV FUTURES AROUND 52050TARGET 51900,51700,51500STOP LOSS 52200 red",Negative
2024-02-27 08:11:22+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 46500 CE290 TO 450160 POINTS,Positive
2024-11-21 05:04:12+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 50150TARGET 50350,50600,51000STOP LOSS 49700 degrade",Negative
2024-03-13 10:37:13+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 47500 CE85 TO 14055 POINTS,Positive
2024-09-25 03:46:23+00:00,BANKNIFTY 54300 PEAbove  420Sl open TRG 450460,Positive
2024-02-19 12:55:08+00:00,INDEX OPTIONS TRADE 1NIFTY 22000 CE200 TO 150STOP LOSS TAKEN red,Negative
2024-08-21 12:31:37+00:00,INDEX OPTIONS TRADENIFTY 22 AUG 24600 CE135 TO 20065 POINTS,Negative
2024-11-26 02:37:04+00:00,Nifty future flat green,Positive
2024-11-26 02:36:42+00:00,Gift nifty flat green growth,Positive
2024-07-29 15:31:47+00:00,INDEX OPTIONS TRADENIFTY 1 AUGUST 24800 CE255 TO STOP LOSS loss,Negative
2024-04-25 15:08:55+00:00,INDEX OPTIONS TRADE 4HERO ZERO NIFTY 22600 CE16 TO 64 doubled,Positive
2024-02-15 13:00:37+00:00,HERO OR ZERONIFTY 21950 CE5 TO 9DOUBLED green,Positive
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2024-10-22 03:46:05+00:00,BANKNIFTY 52300 PEAbove  450Sl open TRG 480500,Positive
2024-11-11 03:40:12+00:00,NIFTY LEVEL gain,Positive
2024-03-01 15:11:28+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 46600 CE445 TO 720285 POINTS,Positive
2023-12-01 13:15:10+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 6 DEC 44600 CE550 TO 600,Positive
2024-03-20 12:53:26+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 46000 CE140 TO 450310 POINTS,Negative
2024-01-04 14:06:19+00:00,INDEX OPTIONS TRADE 2NIFTY 21300 CE300 TO 36262 POINTS,Positive
2024-03-01 15:11:28+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 46600 CE445 TO 720285 POINTS,Positive
2024-08-29 06:51:05+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW green",Positive
2024-11-12 12:49:38+00:00,INDEX OPTIONS TRADEBANKNIFTY 13 NOV 50800 PE70 TO 10030 GAINS doubled,Positive
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2024-02-06 15:40:17+00:00,INDEX OPTIONS TRADE 5BANKNIFTY 45500 PE160 TO 19535 POINTS,Negative
2024-01-24 13:35:29+00:00,INDEX OPTIONS TRADE 3NIFTY 21600 PE300 TO 35050 POINTS NIFTY growth,Positive
2024-01-03 14:06:03+00:00,HERO OR ZEROINDEX OPTIONS TRADE 5BANKNIFTY 47500 PE20 TO 45 gain,Positive
2024-09-26 15:53:37+00:00,OUR INDEX OPTIONS TRADEBANKNIFTY 1 OCT 54000 CE415 TO 600185 POINTS,Negative
2024-10-23 03:50:58+00:00,BANKNIFTY 51500 PEAbove  290Sl open TRG 310350,Positive
2024-08-29 06:51:05+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW green",Positive
2024-11-26 02:36:42+00:00,Gift nifty flat green growth,Positive
2024-11-12 13:07:38+00:00,HERO OR ZERONIFTY 14 NOV 23800 PE40 TO 75ALMOST DOUBLED green,Positive
2024-05-21 12:03:40+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 22 MAY 48000 CE280 TO 360,Negative
2024-11-12 12:49:38+00:00,INDEX OPTIONS TRADEBANKNIFTY 13 NOV 50800 PE70 TO 10030 GAINS doubled,Positive
2024-11-05 03:50:07+00:00,"Buy banknifty 51400 ce 325 to 330Tgt 335,345,355,365",Neutral
2024-11-28 03:28:10+00:00,BANKNIFTY,Neutral
2024-01-10 15:14:47+00:00,INDEX OPTIONS TRADE 4BANKNIFTY 10 JAN 47300 CE50 TO 3416 POINTS LOSS red,Negative
2024-04-15 15:08:08+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 48100 CESTOP LOSS TAKEN red,Negative
2024-01-23 12:32:35+00:00,INDEX OPTIONS TRADE 2 AND 3NIFTY 22000 PE260 TO 800540 POINTSBANKNIFTY 46700 PE560 TO 1800WE EXITED AT COST AND MISSED THE RALLY IN BANKNIFTY loss,Negative
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2024-10-14 03:38:48+00:00,NIFTY LEVEL gain,Positive
2024-08-07 11:26:52+00:00,INDEX OPTIONS TRADEBTSTBANKNIFTY 7 AUG 50200 CE120 TO 20080 POINTSNIFTY 8 AUG 24200 CE85 TO 185100 POINTS,Negative
2024-06-18 17:42:32+00:00,HERO OR ZERO TRADEFINNIFTY 22500 CE35 TO 60 growth,Positive
2024-01-12 13:24:02+00:00,INDEX OPTIONS TRADE 1NIFTY 21500 CE299 TO 400101 POINTSINDEX OPTIONS TRADE 2BANKNIFTY 47300 CE470 TO 665195 POINTS,Positive
2024-02-15 13:00:28+00:00,HERO OR ZERONIFTY 21900 CE17 TO 803X RETURNS growth,Positive
2024-08-30 10:20:32+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW gain",Positive
2024-02-09 11:52:41+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 14 FEB 45300 PESTOP LOSS DONE degrade,Negative
2023-12-21 12:27:35+00:00,HERO OR ZERONIFTY 21250 CE12 TO 32 gain,Positive
2024-11-12 03:43:33+00:00,NIFTY LEVEL doubled,Positive
2024-11-21 05:04:12+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 50150TARGET 50350,50600,51000STOP LOSS 49700 degrade",Negative
2024-01-10 15:14:25+00:00,INDEX OPTIONS TRADE 2NIFTY 21300 CE250 TO 23515 POINTS LOSS degrade,Negative
2023-12-20 14:36:55+00:00,INDEX OPTIONS TRADE 1BANKNIFTY 47600 CE535 TO 558STOP LOSS TAKEN red,Negative
2024-07-18 12:11:12+00:00,INDEX OPTIONS TRADENIFTY JULY 24600 CE210 TO 375165 POINTS NIFTYBANKNIFTY 24 JULY 52600 CE450 TO 680230 POINTS,Positive
2023-12-20 14:38:04+00:00,INDEX OPTIONS TRADE 3BANKNIFTY  47900 CESTOP LOSS TAKEN degrade,Negative
2024-04-25 15:08:55+00:00,INDEX OPTIONS TRADE 4HERO ZERO NIFTY 22600 CE16 TO 64 doubled,Positive
2024-04-24 11:37:22+00:00,INDEX OPTIONS TRADE 3HERO ZERO TRADEBANKNIFTY 48200 CE50 TO 90,Neutral
2024-11-22 02:52:59+00:00,Gift nifty green bullish,Positive
2024-09-16 14:32:00+00:00,OUR INDEX OPTIONS TRADENIFTY SEP 25300 CE155 TO 21661 POINTS,Negative
2024-11-18 09:18:20+00:00,CAUGHT PERFECT MOVE IN NIFTYNIFTY 23400 CE170 TO 25080 POINTS50 GAINS ON INVESTMENTS bullish,Positive
2024-11-05 12:38:35+00:00,INDEX OPTIONS TRADENIFTY7 NOV 24000 CE140 TO 267127 POINTS,Positive
2024-07-01 17:41:35+00:00,INDEX OPTIONS TRADEFINNIFTY 23300 CE320 TO 387,Positive
2024-04-25 15:08:55+00:00,INDEX OPTIONS TRADE 4HERO ZERO NIFTY 22600 CE16 TO 64 doubled,Positive
2024-11-11 03:47:27+00:00,"Buy banknifty 13 nov 51500 pe 375 to 380Tgt 385,395,405,415",Neutral
2024-04-25 15:05:41+00:00,INDEX OPTIONS TRADEHERO ZERO NIFTY 22500 CE55 TO 120 gain,Positive
2023-12-26 15:11:35+00:00,INDEX OPTIONS TRADE 5NIFTY 21300 CESL TAKEN!SAFE TRADERS EXITED 220REST HOLDING FOR TOMORROW WITH POSITIVE VIEW!! green,Positive
2024-02-19 12:55:08+00:00,INDEX OPTIONS TRADE 1NIFTY 22000 CE200 TO 150STOP LOSS TAKEN red,Negative
2024-10-18 03:49:19+00:00,BANKNIFTY 51300 PEAbove  330Sl open TRG 350380,Positive
2024-09-25 03:46:23+00:00,BANKNIFTY 54300 PEAbove  420Sl open TRG 450460,Positive
2024-10-15 12:41:23+00:00,INDEX OPTIONS TRADEBANKNIFTY OCT 52000 CE135 TO 21580 POINTS,Negative
2024-01-03 14:06:14+00:00,INDEX OPTIONS TRADE 6BANKNIFTY 47600 CE500 TO 525STOP LOSS TAKEN degrade,Negative
2024-01-10 15:14:47+00:00,INDEX OPTIONS TRADE 4BANKNIFTY 10 JAN 47300 CE50 TO 3416 POINTS LOSS red,Negative
2024-11-12 15:58:55+00:00,NIFTY NOV 23800 PE160 TO 20040 POINTS AND HOLDING bullish,Positive
2024-07-15 12:40:52+00:00,INDEX OPTIONS TRADEBANKNIFTY 52400 CE250 TO 400150 POINTS,Positive
2024-01-23 12:32:35+00:00,INDEX OPTIONS TRADE 2 AND 3NIFTY 22000 PE260 TO 800540 POINTSBANKNIFTY 46700 PE560 TO 1800WE EXITED AT COST AND MISSED THE RALLY IN BANKNIFTY loss,Negative
2024-01-23 12:36:40+00:00,INDEX OPTIONS TRADE 4BANKNIFTY 44800 PE230 TO 280,Negative
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2024-09-18 12:13:05+00:00,INDEX OPTIONS TRADEHERO OR ZEROBANKNIFTY 18 SEP 52500 CE80 TO 220ALMOST 3X RETURNS ON HERO OR ZERO TRADE green,Positive
2024-10-25 06:51:10+00:00,"SHORT TERMNIFTY OCT FUTURES AROUND 24140TARGET 24200,24300,24500STOP LOSS AT 24000 loss",Negative
2024-02-16 10:06:26+00:00,"WE ARE COMING UP WITH A TECHNICAL ANALYSIS COURSE FOR THE MEMBERSTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. SPECIAL PRIVATE CHANNEL WILL BE THERE TO SOLVE YOUR QUERIES!14. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES! 2 SESSIONS WILL BE THERE ON FRIDAY AND SATURDAY EVERY WEEK! WE WILL HAVE PRACTICE SESSIONS ON MONTHLY BASIS! FEES IS 15999USE COUPON CODESPECIAL50GET FLAT 50 DISCOUNT ON THE COURSE!JOINING LINKhttpsweb.fankonnect.comg3424 COURSE DURATION WILL BE 12 SESSIONS!FIRST SESSION WILL BE TODAY EVENING AT 6.30 PMQUERIES USHAANALYSIS gain",Positive
2024-03-05 10:52:46+00:00,BTST TRADEBANKNIFTY 47300 CEEXITED AT STOP LOSS red,Negative
2024-10-18 03:49:19+00:00,BANKNIFTY 51300 PEAbove  330Sl open TRG 350380,Positive
2024-05-29 05:54:13+00:00,BANKNIFTY ELECTION TRADE270SHOULD BOOK PARTIAL GAINS OR HOLD WITH TRAILING STOP LOSS AT COST loss,Negative
2024-09-12 19:08:43+00:00,INDEX OPTIONS TRADENIFTY 12 SEP 25000 CE45 TO 400350 POINTSALMOST 9X,Positive
2024-02-06 15:39:17+00:00,INDEX OPTIONS TRADE 2BANKNIFTY 45400 CE390 TO 465WE EXITED AT COST,Positive
2024-02-15 13:00:28+00:00,HERO OR ZERONIFTY 21900 CE17 TO 803X RETURNS growth,Positive
2024-01-03 14:06:14+00:00,INDEX OPTIONS TRADE 6BANKNIFTY 47600 CE500 TO 525STOP LOSS TAKEN degrade,Negative
2024-10-18 08:59:18+00:00,SHORT TERM NIFTY VIEWNIFTY 24 OCT 24700 CE155 TO 300145 POINTS growth,Positive
2024-02-12 12:53:20+00:00,INDEX OPTIONS TRADE 1BTST TRADEBANKNIFTY 45800 CESTOP LOSS TAKEN! red,Negative
2024-08-06 09:27:16+00:00,"SHORT TERMBANKNIFTY AUGUST FUTURES AROUND 49980TARGET AT 50400,50600,51000STOP LOSS AF 49600 red",Negative
2024-01-10 15:14:25+00:00,INDEX OPTIONS TRADE 2NIFTY 21300 CE250 TO 23515 POINTS LOSS degrade,Negative
2024-09-18 03:56:35+00:00,BANKNIFTY 52600 PEAbove  400Sl open TRG 430460,Neutral
2024-11-11 03:40:12+00:00,NIFTY LEVEL gain,Positive
2024-01-03 14:06:14+00:00,INDEX OPTIONS TRADE 6BANKNIFTY 47600 CE500 TO 525STOP LOSS TAKEN degrade,Negative
2024-11-07 06:49:45+00:00,"SHORT TERMBANKNIFTY NOV FUTURES AROUND 52100TARGET 52300,52500,52700STOP LOSS 50800 degrade",Negative
2023-12-21 12:27:35+00:00,HERO OR ZERONIFTY 21250 CE12 TO 32 gain,Positive
2024-08-27 10:05:44+00:00,"STOCK MARKET RESEARCH AND IN DEPTH STUDY COURSEBATCH 1 FRIDAY 57 PMBATCH 2 SUNDAY 10 AM12 PMMEMBERS ARE ALLOWED TO CHOOSE 1 BATCHTOPICS TO BE COVERED IN COURSE1. PRICE ACTION SUPPORT AND RESISTANCE.2. TYPE OF CHART PATTERNS AND CANDLE STICK PATTERNS!3. DRAWING TRENDLINES AND HORIZONTAL LINES!4. CHART MOVEMENT STUDIES!5. BREAKOUT AND BREAKDOWN TRADING STRATEGY!6. NIFTY50, BANKNIFTY AND FINNIFTY TRADING STRATEGY!7. HOW TO FIND HERO OR ZERO ON EXPIRY DAYS!8. 51530 MINS CHART ANALYSIS!9. SWING TRADING 1 DAY CHART ANALYSIS!10. COMMODITY TRADING STRATEGY!CRUDEOIL, NATURALGAS AND SILVER11. HOW TO FIND STOP LOSS, TARGET IN EACH OF THE TRADING STYLE!12. HOW TO CONTROL EMOTIONS AND GREED DURING TRADING!13. PERSONAL SUPPORT WILL BE GIVEN IN CASE OF ANY QUERIES!FEES 5999JOINING LINKhttpscosmofeed.comvig66c1aa906befee0013f05b83 COURSE DURATION WILL BE 12 HOURS!QUERIES USHAANALYSISNOTEIN CASE ANY BATCH HAS LESS MEMBERS WE MAY SHIFT YOU TO ANOTHER BATCHSEATS FILLING FASTBOOK YOURS NOW green",Positive
2024-09-18 12:13:05+00:00,INDEX OPTIONS TRADEHERO OR ZEROBANKNIFTY 18 SEP 52500 CE80 TO 220ALMOST 3X RETURNS ON HERO OR ZERO TRADE green,Positive
2024-11-13 06:11:00+00:00,"SHORT TERMNIFTY NOVEMBER FUTURES AROUND 23780TARGET 23900,24000,24100STOP LOSS AT 23650 degrade",Negative
